frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h,track_id
175,5250.0,right,1424.0,898.5,4.0,1423,897,3,4,447
176,5280.0,left,778.0,284.0,2.0,777,283,3,3,440
176,5280.0,left,724.44,610.39,9.0,722,609,6,4,445
177,5310.0,right,1451.0,409.0,2.0,1450,408,3,3,451
178,5340.0,right,1442.25,538.25,8.0,1441,535,4,7,452
178,5340.0,right,1444.0,532.0,2.0,1443,531,3,3,453
179,5370.0,right,1456.0,459.0,2.0,1455,458,3,3,456
179,5370.0,right,1448.33,550.0,13.0,1447,547,4,7,458
181,5430.0,right,1391.78,27.22,8.5,1390,25,5,5,462
181,5430.0,right,1456.0,444.0,10.0,1455,441,3,7,463
183,5490.0,right,1358.0,523.5,5.0,1356,522,5,4,466
183,5490.0,right,1313.0,28.5,4.0,1312,27,3,4,467
184,5520.0,right,1387.0,623.0,2.0,1386,622,3,3,468
184,5520.0,right,1380.0,683.0,2.0,1379,682,3,3,469
184,5520.0,right,1386.0,613.0,2.0,1385,612,3,3,470
192,5760.0,right,1447.82,538.98,120.5,1443,521,9,42,477
192,5760.0,right,1460.0,832.0,2.0,1459,831,3,3,478
192,5760.0,right,1442.78,684.66,15.5,1440,682,7,6,479
192,5760.0,right,1477.28,706.5,18.0,1472,705,11,4,480
192,5760.0,right,1457.0,847.5,8.0,1455,845,5,6,482
192,5760.0,right,1454.5,857.0,5.0,1453,855,4,5,483
193,5790.0,right,1451.0,478.0,6.0,1450,476,3,5,484
193,5790.0,right,1447.77,536.06,103.5,1443,521,9,35,477
193,5790.0,right,1515.82,392.44,24.5,1513,387,6,11,485
193,5790.0,right,1453.0,660.0,2.0,1452,659,3,3,486
193,5790.0,right,1443.5,685.0,4.0,1442,684,4,3,479
193,5790.0,right,1478.0,706.0,2.0,1477,705,3,3,480
193,5790.0,right,1454.0,858.0,2.0,1453,857,3,3,483
193,5790.0,right,1449.0,559.0,6.0,1448,557,3,5,487
194,5820.0,right,1449.0,545.5,32.0,1448,537,3,18,488
194,5820.0,right,1445.15,525.9,20.0,1443,521,6,11,489
194,5820.0,right,1516.0,391.0,4.0,1515,389,3,5,485
214,6420.0,right,1483.88,559.09,11.0,1482,556,4,7,491
214,6420.0,right,1461.17,834.25,16.0,1460,830,4,11,494
214,6420.0,right,1459.24,850.43,27.0,1457,843,6,16,495
215,6450.0,right,1421.24,672.78,7.5,1419,671,5,4,499
215,6450.0,right,1461.0,832.5,4.0,1460,831,3,4,494
215,6450.0,right,1459.0,849.0,2.0,1458,848,3,3,495
216,6480.0,right,1479.0,659.0,2.0,1478,658,3,3,502
216,6480.0,right,1421.0,672.67,6.0,1419,671,5,4,499
217,6510.0,right,1405.67,471.96,24.0,1404,466,5,13,503
