video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010063.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
105,3.503500,all,1055.25,258.17,84.00,1047,255,17,7
105,3.503500,all,1642.55,126.57,29.00,1639,124,8,6
106,3.536867,all,1383.20,457.23,86.50,1377,443,14,29
106,3.536867,all,871.12,356.04,15.50,869,353,5,8
106,3.536867,all,1055.25,258.17,84.00,1047,255,17,7
106,3.536867,all,1642.62,126.48,31.00,1639,124,9,6
106,3.536867,all,1336.09,24.50,26.50,1332,22,9,6
107,3.570233,all,1382.00,461.00,6.00,1381,459,3,5
107,3.570233,all,871.02,356.11,14.50,869,353,5,8
107,3.570233,all,1055.25,258.17,84.00,1047,255,17,7
107,3.570233,all,1642.68,126.55,30.00,1639,124,9,6
107,3.570233,all,1335.30,24.30,5.50,1334,23,4,4
108,3.603600,all,871.14,355.60,13.50,869,353,5,7
108,3.603600,all,1055.25,258.17,84.00,1047,255,17,7
